Number of Topics,Coherence Scores
2,0.4408084325481977
3,0.3779153051943161
4,0.3816709789138686
5,0.4057347545947083
6,0.4066177438376834
7,0.3325662376095055
8,0.3806299130294917
9,0.4211217810634829
10,0.45911113406114906
11,0.41587651400412634
12,0.4341424879501518
13,0.4076472502740811
14,0.41559954603910565
15,0.41571707329584767
