Number of Topics,Coherence Scores
2,0.4257685141199761
3,0.3661753535950732
4,0.41700029400455785
5,0.43633722707764466
6,0.4274782673679655
7,0.4804551811531588
8,0.48086983142228257
9,0.5024528891276047
10,0.454580942791888
11,0.45991779301469937
12,0.5007047846762734
13,0.4733257236474745
14,0.48305098709742644
15,0.4721866903447401
