Number of Topics,Coherence Scores
2,0.32401613978250665
3,0.33072653522222173
4,0.3517407288042311
5,0.38510966147213316
6,0.40917925399299643
7,0.4008344001256758
8,0.42620352455741717
9,0.4064964372195529
10,0.45075624145309706
11,0.45882145126566054
12,0.44259023830169114
13,0.4479898932492992
14,0.4514173616887241
15,0.42699363163005927
