Number of Topics,Coherence Scores
2,0.39353509276821447
3,0.4283142573702386
4,0.44659210399377275
5,0.43885220955661514
6,0.48622799088169194
7,0.4426378242214178
8,0.466726373564783
9,0.4737112057061164
10,0.5221136192429137
11,0.49370275428318294
12,0.5017206953906462
13,0.5230151343553069
14,0.5111117637522111
15,0.5243796015230673
